user_id,age_group,city_tier,income_band,acquisition_channel,device_os,registration_date
U00041,18-24,Tier 2,High,Paid Ads,Android,2024-04-13
U00042,25-34,Tier 2,Low,Organic,iOS,2024-01-21
U00043,18-24,Tier 1,Low,Organic,iOS,2024-03-30
U00044,45-54,Tier 2,Mid,Paid Ads,Android,2024-02-24
U00045,18-24,Tier 2,Mid,Paid Ads,Android,2024-02-13
U00046,35-44,Tier 2,Mid,Paid Ads,iOS,2024-02-05
U00047,25-34,Tier 2,Low,Organic,Android,2024-01-20
U00048,25-34,Tier 2,Low,Referral,Android,2024-01-28
U00049,25-34,Tier 1,Mid,Referral,Android,2024-04-07
U00050,18-24,Tier 2,High,Paid Ads,iOS,2024-02-13
U00051,55+,Tier 1,High,Partnership,Android,2024-01-14
U00052,35-44,Tier 3,Mid,Partnership,iOS,2024-01-12
U00053,45-54,Tier 1,High,Organic,Android,2024-02-18
U00054,45-54,Tier 1,Mid,Partnership,Android,2024-01-13
U00055,25-34,Tier 1,Mid,Paid Ads,iOS,2024-02-15
U00056,45-54,Tier 2,Mid,Paid Ads,iOS,2024-04-18
U00057,18-24,Tier 1,Mid,Organic,Android,2024-02-14
U00058,18-24,Tier 1,Mid,Paid Ads,Android,2024-03-18
U00059,18-24,Tier 2,Mid,Organic,iOS,2024-02-03
U00060,25-34,Tier 1,Mid,Referral,Android,2024-04-13
U00061,25-34,Tier 3,Low,Organic,Android,2024-01-06
U00062,18-24,Tier 3,Low,Organic,Android,2024-04-03
U00063,35-44,Tier 2,Mid,Organic,iOS,2024-02-28
U00064,25-34,Tier 1,Low,Organic,iOS,2024-03-09
U00065,18-24,Tier 2,Low,Organic,iOS,2024-01-16
U00066,25-34,Tier 1,Mid,Paid Ads,Android,2024-02-18
U00067,18-24,Tier 2,Mid,Organic,Android,2024-01-11
U00068,35-44,Tier 1,Mid,Paid Ads,Android,2024-03-11
U00069,18-24,Tier 3,Mid,Organic,Android,2024-02-07
U00070,55+,Tier 1,High,Branch,Android,2024-04-16
U00071,35-44,Tier 2,High,Branch,Android,2024-03-21
U00072,18-24,Tier 2,High,Organic,Android,2024-03-20
U00073,18-24,Tier 2,Mid,Paid Ads,Android,2024-04-23
U00074,35-44,Tier 1,Mid,Organic,iOS,2024-04-20
U00075,35-44,Tier 3,High,Branch,iOS,2024-02-16
U00076,35-44,Tier 2,Low,Paid Ads,Android,2024-03-14
U00077,35-44,Tier 2,Low,Organic,Android,2024-01-25
U00078,18-24,Tier 1,Mid,Referral,Android,2024-03-31
U00079,25-34,Tier 2,Low,Organic,iOS,2024-01-09
U00080,18-24,Tier 1,High,Referral,Android,2024-01-06
U00081,45-54,Tier 1,Mid,Paid Ads,iOS,2024-03-25
U00082,25-34,Tier 1,Mid,Paid Ads,Android,2024-01-30
U00083,25-34,Tier 3,Mid,Referral,Android,2024-04-08
U00084,18-24,Tier 1,Mid,Organic,iOS,2024-02-07
U00085,25-34,Tier 1,Low,Organic,Android,2024-01-11
U00086,25-34,Tier 2,Mid,Organic,Android,2024-04-19
U00087,35-44,Tier 2,Mid,Partnership,Android,2024-01-30
U00088,25-34,Tier 1,Mid,Organic,Android,2024-04-20
U00089,45-54,Tier 2,Mid,Paid Ads,Android,2024-01-13
U00090,25-34,Tier 1,Low,Referral,Android,2024-02-18
U00091,18-24,Tier 1,Low,Organic,iOS,2024-02-05
U00092,35-44,Tier 1,Low,Paid Ads,iOS,2024-02-28
U00093,35-44,Tier 3,Mid,Paid Ads,iOS,2024-03-22
U00094,25-34,Tier 1,High,Referral,Android,2024-04-16
U00095,35-44,Tier 1,High,Paid Ads,Android,2024-02-16
U00096,25-34,Tier 1,Mid,Paid Ads,Android,2024-01-21
U00097,25-34,Tier 3,Mid,Referral,Android,2024-02-17
U00098,25-34,Tier 1,Mid,Paid Ads,Android,2024-02-15
U00099,18-24,Tier 1,Low,Paid Ads,iOS,2024-01-27
U00100,18-24,Tier 1,Low,Organic,Android,2024-03-26
U00101,18-24,Tier 1,High,Paid Ads,iOS,2024-02-04
U00102,25-34,Tier 2,Mid,Organic,Android,2024-03-30
U00103,25-34,Tier 2,High,Organic,Android,2024-03-28
U00104,25-34,Tier 1,Mid,Paid Ads,Android,2024-03-23
U00105,45-54,Tier 1,Mid,Partnership,Android,2024-01-10
U00106,18-24,Tier 1,Low,Partnership,Android,2024-03-18
U00107,25-34,Tier 1,Low,Organic,iOS,2024-03-22
U00108,35-44,Tier 1,Mid,Referral,iOS,2024-01-22
U00109,18-24,Tier 2,Mid,Paid Ads,Android,2024-03-09
U00110,18-24,Tier 3,Low,Organic,Android,2024-04-03
U00111,18-24,Tier 3,Low,Partnership,iOS,2024-02-01
U00112,18-24,Tier 3,Low,Paid Ads,iOS,2024-01-21
U00113,45-54,Tier 2,Mid,Branch,Android,2024-02-29
U00114,35-44,Tier 2,Mid,Organic,iOS,2024-02-18
U00115,25-34,Tier 1,Low,Organic,Android,2024-02-04
U00116,45-54,Tier 2,Low,Partnership,Android,2024-03-22
U00117,35-44,Tier 2,Low,Paid Ads,Android,2024-03-29
U00118,18-24,Tier 2,Mid,Partnership,Android,2024-03-12
U00119,45-54,Tier 2,Low,Organic,Android,2024-01-29
U00120,25-34,Tier 1,Mid,Paid Ads,Android,2024-03-28
U00121,35-44,Tier 1,Low,Paid Ads,iOS,2024-02-11
U00122,45-54,Tier 3,Low,Organic,iOS,2024-04-17
U00123,25-34,Tier 1,High,Paid Ads,iOS,2024-04-08
U00124,18-24,Tier 2,Mid,Paid Ads,Android,2024-04-09
U00125,18-24,Tier 3,Low,Organic,Android,2024-01-08
U00126,25-34,Tier 2,High,Referral,Android,2024-01-30
U00127,35-44,Tier 2,Mid,Paid Ads,iOS,2024-04-15
U00128,45-54,Tier 1,High,Paid Ads,Android,2024-01-05
U00129,18-24,Tier 1,Mid,Partnership,Android,2024-04-13
U00130,25-34,Tier 3,Mid,Referral,Android,2024-02-10
U00131,25-34,Tier 2,High,Referral,Android,2024-02-21
U00132,18-24,Tier 2,Low,Branch,Android,2024-02-04
U00133,18-24,Tier 1,Mid,Branch,iOS,2024-01-09
U00134,25-34,Tier 1,Mid,Organic,Android,2024-01-28
U00135,45-54,Tier 3,Low,Partnership,Android,2024-04-26
U00136,25-34,Tier 1,Low,Organic,Android,2024-03-13
U00137,25-34,Tier 2,Low,Organic,Android,2024-04-22
U00138,35-44,Tier 1,Mid,Referral,Android,2024-04-01
U00139,25-34,Tier 2,Mid,Referral,iOS,2024-02-10
U00140,55+,Tier 3,Mid,Partnership,Android,2024-01-28
U00141,55+,Tier 2,Low,Paid Ads,iOS,2024-03-24
U00142,18-24,Tier 1,Mid,Branch,Android,2024-03-04
U00143,25-34,Tier 2,High,Paid Ads,Android,2024-02-20
U00144,25-34,Tier 2,Mid,Referral,iOS,2024-04-23
U00145,18-24,Tier 1,Mid,Paid Ads,Android,2024-03-23
U00146,18-24,Tier 3,Mid,Branch,Android,2024-02-28
U00147,25-34,Tier 2,Mid,Paid Ads,iOS,2024-01-19
U00148,25-34,Tier 3,Mid,Partnership,Android,2024-02-03
U00149,18-24,Tier 2,High,Branch,Android,2024-01-18
U00150,18-24,Tier 1,Mid,Organic,iOS,2024-02-01
U00151,45-54,Tier 1,High,Paid Ads,Android,2024-04-05
U00152,18-24,Tier 1,Low,Partnership,Android,2024-03-12
U00153,18-24,Tier 3,Low,Branch,Android,2024-03-09
U00154,25-34,Tier 2,Low,Organic,Android,2024-02-03
U00155,55+,Tier 2,Mid,Paid Ads,Android,2024-04-05
U00156,18-24,Tier 1,Mid,Paid Ads,Android,2024-03-15
U00157,35-44,Tier 1,Low,Organic,Android,2024-02-24
U00158,35-44,Tier 2,Low,Paid Ads,Android,2024-04-24
U00159,18-24,Tier 2,High,Referral,Android,2024-03-15
U00160,35-44,Tier 1,High,Referral,Android,2024-02-21
U00161,25-34,Tier 2,Mid,Referral,Android,2024-02-16
U00162,25-34,Tier 1,Mid,Paid Ads,iOS,2024-01-29
U00163,25-34,Tier 1,Mid,Referral,Android,2024-01-18
U00164,25-34,Tier 2,Mid,Paid Ads,iOS,2024-03-06
U00165,18-24,Tier 1,High,Referral,Android,2024-03-04
U00166,35-44,Tier 3,Low,Organic,Android,2024-01-12
U00167,25-34,Tier 1,Mid,Organic,Android,2024-04-06
U00168,18-24,Tier 1,Mid,Organic,iOS,2024-01-07
U00169,18-24,Tier 1,Mid,Paid Ads,Android,2024-04-20
U00170,25-34,Tier 2,Mid,Partnership,iOS,2024-01-15
U00171,35-44,Tier 1,Mid,Organic,iOS,2024-01-20
U00172,18-24,Tier 2,Low,Organic,Android,2024-03-21
U00173,25-34,Tier 1,Mid,Paid Ads,Android,2024-01-21
U00174,18-24,Tier 1,Low,Referral,Android,2024-04-11
U00175,25-34,Tier 1,Low,Branch,Android,2024-03-28
U00176,18-24,Tier 3,Low,Paid Ads,Android,2024-02-24
U00177,35-44,Tier 3,Mid,Referral,iOS,2024-03-17
U00178,25-34,Tier 1,Mid,Referral,Android,2024-01-09
U00179,45-54,Tier 2,Mid,Paid Ads,Android,2024-02-19
U00180,18-24,Tier 3,Mid,Organic,Android,2024-02-18
U00181,25-34,Tier 1,Mid,Organic,iOS,2024-03-17
U00182,18-24,Tier 3,Mid,Organic,Android,2024-02-29
U00183,45-54,Tier 1,Mid,Partnership,iOS,2024-03-08
U00184,45-54,Tier 3,Mid,Paid Ads,iOS,2024-02-02
U00185,18-24,Tier 2,Mid,Organic,Android,2024-03-11
U00186,35-44,Tier 3,Mid,Paid Ads,Android,2024-04-20
U00187,35-44,Tier 2,High,Referral,Android,2024-01-02
U00188,25-34,Tier 1,High,Paid Ads,Android,2024-03-28
U00189,25-34,Tier 3,Low,Organic,iOS,2024-04-02
U00190,18-24,Tier 1,Low,Paid Ads,Android,2024-01-15
U00191,18-24,Tier 1,Mid,Branch,Android,2024-03-28
U00192,45-54,Tier 2,Mid,Organic,Android,2024-04-23
U00193,45-54,Tier 2,Low,Referral,Android,2024-03-09
U00194,25-34,Tier 3,High,Organic,Android,2024-04-06
U00195,25-34,Tier 1,Low,Organic,Android,2024-02-04
U00196,25-34,Tier 2,High,Referral,iOS,2024-04-08
U00197,35-44,Tier 2,Mid,Partnership,Android,2024-03-23
U00198,45-54,Tier 1,Mid,Branch,Android,2024-02-13
U00199,45-54,Tier 1,Low,Organic,iOS,2024-01-15
U00200,35-44,Tier 1,Low,Paid Ads,iOS,2024-02-07
U00201,25-34,Tier 1,Mid,Paid Ads,Android,2024-02-25
U00202,18-24,Tier 3,Low,Paid Ads,Android,2024-01-21
U00203,18-24,Tier 2,Mid,Referral,Android,2024-02-28
U00204,45-54,Tier 2,Mid,Organic,Android,2024-01-01
U00205,25-34,Tier 3,Low,Paid Ads,iOS,2024-04-02
U00206,18-24,Tier 1,Low,Referral,Android,2024-04-22
U00207,18-24,Tier 3,Mid,Partnership,iOS,2024-04-02
U00208,35-44,Tier 1,Low,Partnership,Android,2024-02-03
U00209,18-24,Tier 3,Low,Organic,Android,2024-03-05
U00210,18-24,Tier 1,Mid,Organic,Android,2024-04-07
U00211,25-34,Tier 3,High,Branch,Android,2024-01-23
U00212,35-44,Tier 1,Mid,Paid Ads,Android,2024-03-05
U00213,35-44,Tier 1,Low,Partnership,Android,2024-04-26
U00214,18-24,Tier 2,Mid,Organic,Android,2024-01-14
U00215,35-44,Tier 1,High,Paid Ads,iOS,2024-04-21
U00216,18-24,Tier 2,Mid,Paid Ads,Android,2024-03-21
U00217,25-34,Tier 1,Mid,Partnership,iOS,2024-02-08
U00218,35-44,Tier 2,Mid,Organic,Android,2024-04-17
U00219,25-34,Tier 1,Mid,Organic,iOS,2024-03-22
U00220,35-44,Tier 1,Low,Referral,iOS,2024-03-05
U00221,35-44,Tier 1,Mid,Partnership,Android,2024-03-18
U00222,25-34,Tier 2,Mid,Branch,iOS,2024-01-26
U00223,18-24,Tier 1,High,Branch,Android,2024-01-20
U00224,25-34,Tier 1,Low,Branch,iOS,2024-02-17
U00225,18-24,Tier 1,Low,Organic,Android,2024-04-07
U00226,18-24,Tier 1,Mid,Organic,Android,2024-01-21
U00227,55+,Tier 2,Mid,Organic,Android,2024-03-10
U00228,25-34,Tier 3,Mid,Referral,Android,2024-04-09
U00229,45-54,Tier 1,Low,Partnership,Android,2024-03-08
U00230,25-34,Tier 2,Low,Partnership,iOS,2024-01-01
U00231,35-44,Tier 2,Mid,Organic,iOS,2024-03-17
U00232,25-34,Tier 1,Mid,Paid Ads,Android,2024-02-11
U00233,25-34,Tier 2,High,Branch,iOS,2024-03-03
U00234,25-34,Tier 1,Mid,Paid Ads,iOS,2024-01-03
U00235,18-24,Tier 2,Mid,Organic,Android,2024-01-15
U00236,35-44,Tier 1,Mid,Paid Ads,Android,2024-02-16
U00237,18-24,Tier 2,Mid,Referral,Android,2024-04-22
U00238,18-24,Tier 2,Mid,Paid Ads,iOS,2024-04-16
U00239,25-34,Tier 1,High,Referral,iOS,2024-04-13
U00240,18-24,Tier 1,Low,Organic,Android,2024-02-09
U00241,45-54,Tier 3,Mid,Branch,Android,2024-01-31
U00242,55+,Tier 1,Low,Paid Ads,iOS,2024-01-08
U00243,45-54,Tier 2,Mid,Paid Ads,iOS,2024-01-31
U00244,25-34,Tier 3,Mid,Branch,iOS,2024-04-22
U00245,18-24,Tier 2,Low,Organic,Android,2024-03-13
U00246,45-54,Tier 2,High,Organic,Android,2024-01-11
U00247,25-34,Tier 2,Low,Partnership,Android,2024-01-11
U00248,55+,Tier 3,Mid,Referral,Android,2024-04-03
U00249,55+,Tier 2,High,Partnership,iOS,2024-03-03
U00250,45-54,Tier 2,Low,Referral,Android,2024-04-14
U00251,18-24,Tier 1,Mid,Organic,iOS,2024-01-09
U00252,25-34,Tier 3,Low,Paid Ads,Android,2024-04-07
U00253,45-54,Tier 2,Low,Organic,iOS,2024-03-09
U00254,25-34,Tier 1,Mid,Partnership,Android,2024-04-08
U00255,18-24,Tier 3,High,Paid Ads,Android,2024-01-17
U00256,25-34,Tier 2,Low,Branch,Android,2024-01-17
U00257,45-54,Tier 1,Mid,Partnership,Android,2024-03-25
U00258,35-44,Tier 2,Mid,Organic,iOS,2024-03-01
U00259,25-34,Tier 1,High,Partnership,Android,2024-03-11
U00260,18-24,Tier 3,Low,Paid Ads,Android,2024-01-22
U00261,25-34,Tier 1,Mid,Paid Ads,iOS,2024-02-03
U00262,55+,Tier 3,Mid,Partnership,iOS,2024-03-08
U00263,18-24,Tier 2,Mid,Paid Ads,Android,2024-04-21
U00264,25-34,Tier 1,High,Paid Ads,iOS,2024-03-18
U00265,45-54,Tier 3,High,Paid Ads,Android,2024-02-24
U00266,35-44,Tier 2,Low,Referral,Android,2024-01-28
U00267,35-44,Tier 1,Mid,Organic,Android,2024-03-10
U00268,35-44,Tier 2,Mid,Paid Ads,Android,2024-04-06
U00269,25-34,Tier 3,Mid,Organic,Android,2024-04-03
U00270,18-24,Tier 1,Mid,Organic,Android,2024-03-29
U00271,35-44,Tier 1,Mid,Organic,Android,2024-01-26
U00272,35-44,Tier 1,Mid,Paid Ads,iOS,2024-04-01
U00273,45-54,Tier 1,High,Referral,Android,2024-02-09
U00274,45-54,Tier 2,Low,Partnership,iOS,2024-02-21
U00275,25-34,Tier 2,High,Referral,iOS,2024-03-26
U00276,25-34,Tier 1,Mid,Paid Ads,Android,2024-03-24
U00277,35-44,Tier 1,Mid,Referral,Android,2024-02-17
U00278,25-34,Tier 1,High,Paid Ads,Android,2024-02-26
U00279,35-44,Tier 3,Mid,Referral,iOS,2024-04-25
U00280,35-44,Tier 1,Mid,Branch,Android,2024-03-07
U00281,45-54,Tier 3,Mid,Branch,Android,2024-02-27
U00282,25-34,Tier 2,Mid,Partnership,iOS,2024-01-16
U00283,25-34,Tier 1,High,Branch,Android,2024-02-01
U00284,18-24,Tier 3,High,Referral,Android,2024-01-29
U00285,25-34,Tier 2,Low,Paid Ads,Android,2024-01-09
U00286,18-24,Tier 2,Low,Paid Ads,iOS,2024-02-13
U00287,25-34,Tier 3,Mid,Paid Ads,iOS,2024-01-03
U00288,25-34,Tier 1,Low,Partnership,Android,2024-03-16
U00289,18-24,Tier 1,Mid,Paid Ads,Android,2024-03-11
U00290,25-34,Tier 2,Low,Branch,iOS,2024-01-30
U00291,18-24,Tier 1,Mid,Referral,iOS,2024-03-16
U00292,18-24,Tier 1,Low,Partnership,iOS,2024-01-29
U00293,35-44,Tier 1,Mid,Paid Ads,Android,2024-01-01
U00294,25-34,Tier 1,Mid,Paid Ads,iOS,2024-01-10
U00295,18-24,Tier 2,Mid,Referral,Android,2024-03-31
U00296,25-34,Tier 1,High,Partnership,Android,2024-03-21
U00297,35-44,Tier 2,High,Branch,iOS,2024-01-08
U00298,18-24,Tier 2,Mid,Organic,Android,2024-01-30
U00299,25-34,Tier 1,Low,Paid Ads,iOS,2024-01-09
U00300,18-24,Tier 1,High,Referral,Android,2024-04-25
U00301,18-24,Tier 2,High,Branch,iOS,2024-01-05
U00302,25-34,Tier 1,High,Paid Ads,Android,2024-04-20
U00303,25-34,Tier 2,Low,Organic,Android,2024-02-12
U00304,25-34,Tier 3,High,Referral,Android,2024-01-10
U00305,35-44,Tier 1,Low,Paid Ads,Android,2024-03-06
U00306,55+,Tier 2,Mid,Organic,iOS,2024-01-31
U00307,25-34,Tier 2,High,Paid Ads,Android,2024-02-05
U00308,25-34,Tier 1,Low,Branch,Android,2024-03-26
U00309,35-44,Tier 3,High,Partnership,Android,2024-03-03
U00310,18-24,Tier 3,Mid,Organic,iOS,2024-01-28
U00311,25-34,Tier 1,High,Branch,Android,2024-03-10
U00312,18-24,Tier 2,Low,Paid Ads,Android,2024-01-17
U00313,18-24,Tier 3,High,Organic,Android,2024-04-02
U00314,55+,Tier 3,Low,Organic,iOS,2024-04-22
U00315,35-44,Tier 2,Mid,Organic,Android,2024-03-14
U00316,35-44,Tier 2,Mid,Partnership,Android,2024-03-14
U00317,25-34,Tier 1,Mid,Organic,iOS,2024-03-01
U00318,18-24,Tier 3,Low,Organic,iOS,2024-02-01
U00319,18-24,Tier 1,Mid,Partnership,Android,2024-04-10
U00320,18-24,Tier 2,Low,Paid Ads,iOS,2024-03-01
U00321,25-34,Tier 1,Mid,Partnership,Android,2024-04-13
U00322,35-44,Tier 1,Low,Paid Ads,Android,2024-02-22
U00323,35-44,Tier 1,High,Organic,Android,2024-01-25
U00324,18-24,Tier 3,Low,Partnership,iOS,2024-01-13
U00325,55+,Tier 1,Low,Organic,Android,2024-01-13
U00326,35-44,Tier 2,Low,Paid Ads,Android,2024-03-25
U00327,25-34,Tier 1,Mid,Paid Ads,Android,2024-02-25
U00328,25-34,Tier 1,Low,Organic,iOS,2024-02-15
U00329,25-34,Tier 1,Mid,Branch,Android,2024-02-24
U00330,18-24,Tier 2,High,Paid Ads,Android,2024-02-22
U00331,25-34,Tier 1,Mid,Organic,Android,2024-02-29
U00332,35-44,Tier 1,Mid,Branch,Android,2024-04-20
U00333,18-24,Tier 1,Low,Paid Ads,iOS,2024-04-03
U00334,18-24,Tier 1,Mid,Paid Ads,Android,2024-01-07
U00335,18-24,Tier 3,Low,Paid Ads,iOS,2024-03-27
U00336,18-24,Tier 3,Mid,Partnership,Android,2024-03-24
U00337,45-54,Tier 1,Low,Organic,iOS,2024-03-23
U00338,35-44,Tier 2,Mid,Referral,Android,2024-01-13
U00339,25-34,Tier 3,Mid,Paid Ads,Android,2024-01-08
U00340,18-24,Tier 1,High,Organic,iOS,2024-02-21
U00341,25-34,Tier 3,Low,Paid Ads,iOS,2024-04-03
U00342,25-34,Tier 3,Mid,Referral,Android,2024-02-13
U00343,18-24,Tier 1,Low,Referral,Android,2024-04-12
U00344,25-34,Tier 1,Mid,Organic,Android,2024-04-20
U00345,25-34,Tier 3,High,Paid Ads,iOS,2024-01-14
U00346,25-34,Tier 2,Mid,Partnership,Android,2024-02-01
U00347,25-34,Tier 1,Mid,Referral,Android,2024-01-25
U00348,18-24,Tier 1,High,Paid Ads,Android,2024-01-25
U00349,25-34,Tier 1,Mid,Organic,iOS,2024-03-09
U00350,25-34,Tier 2,Mid,Paid Ads,Android,2024-02-27
U00351,25-34,Tier 2,Mid,Organic,Android,2024-01-18
U00352,45-54,Tier 3,Mid,Paid Ads,Android,2024-02-24
U00353,35-44,Tier 1,Low,Paid Ads,Android,2024-01-24
U00354,18-24,Tier 2,High,Branch,Android,2024-02-05
U00355,18-24,Tier 2,Mid,Referral,iOS,2024-02-29
U00356,25-34,Tier 1,Low,Partnership,iOS,2024-02-01
U00357,18-24,Tier 1,Mid,Paid Ads,Android,2024-04-21
U00358,25-34,Tier 3,Mid,Branch,iOS,2024-01-10
U00359,45-54,Tier 3,Low,Referral,Android,2024-02-26
U00360,25-34,Tier 2,Mid,Referral,Android,2024-04-13
U00361,25-34,Tier 2,High,Partnership,iOS,2024-04-20
U00362,25-34,Tier 1,High,Organic,Android,2024-04-19
U00363,25-34,Tier 2,High,Organic,Android,2024-03-11
U00364,25-34,Tier 2,High,Organic,iOS,2024-01-13
U00365,45-54,Tier 2,Low,Partnership,Android,2024-01-07
U00366,25-34,Tier 3,Mid,Organic,iOS,2024-03-24
U00367,55+,Tier 2,High,Partnership,iOS,2024-03-10
U00368,45-54,Tier 1,Mid,Paid Ads,Android,2024-04-17
U00369,18-24,Tier 2,Mid,Organic,Android,2024-01-02
U00370,18-24,Tier 1,Mid,Referral,Android,2024-01-12
U00371,18-24,Tier 1,Mid,Organic,Android,2024-04-06
U00372,18-24,Tier 1,High,Paid Ads,Android,2024-04-18
U00373,18-24,Tier 1,Mid,Paid Ads,iOS,2024-01-31
U00374,35-44,Tier 2,Mid,Paid Ads,Android,2024-01-22
U00375,18-24,Tier 2,High,Organic,Android,2024-02-22
U00376,25-34,Tier 2,Mid,Paid Ads,Android,2024-03-03
U00377,35-44,Tier 2,Low,Partnership,Android,2024-03-02
U00378,18-24,Tier 1,Mid,Paid Ads,iOS,2024-01-28
U00379,35-44,Tier 3,High,Partnership,Android,2024-04-20
U00380,18-24,Tier 1,Mid,Organic,iOS,2024-02-21
U00381,18-24,Tier 1,Mid,Partnership,Android,2024-04-25
U00382,35-44,Tier 2,Mid,Referral,Android,2024-01-08
U00383,25-34,Tier 1,Low,Organic,Android,2024-01-22
U00384,45-54,Tier 1,High,Partnership,Android,2024-02-18
U00385,35-44,Tier 2,High,Branch,Android,2024-01-01
U00386,35-44,Tier 2,Low,Paid Ads,Android,2024-02-19
U00387,18-24,Tier 1,Low,Organic,iOS,2024-02-03
U00388,18-24,Tier 3,High,Referral,Android,2024-04-10
U00389,35-44,Tier 2,High,Paid Ads,iOS,2024-04-10
U00390,35-44,Tier 3,High,Partnership,Android,2024-02-28
U00391,55+,Tier 1,High,Organic,Android,2024-02-06
U00392,25-34,Tier 2,Mid,Partnership,Android,2024-02-24
U00393,25-34,Tier 3,Mid,Referral,Android,2024-03-30
U00394,35-44,Tier 2,Mid,Partnership,iOS,2024-04-03
U00395,25-34,Tier 2,Low,Branch,Android,2024-04-10
U00396,45-54,Tier 1,Mid,Referral,Android,2024-03-12
U00397,45-54,Tier 1,Mid,Referral,Android,2024-03-25
U00398,25-34,Tier 2,Mid,Partnership,Android,2024-04-01
U00399,35-44,Tier 1,Mid,Paid Ads,iOS,2024-03-03
U00400,35-44,Tier 3,Mid,Paid Ads,Android,2024-01-20
U00401,18-24,Tier 1,Low,Paid Ads,iOS,2024-01-25
U00402,45-54,Tier 3,Low,Organic,Android,2024-02-07
U00403,25-34,Tier 3,Low,Partnership,iOS,2024-01-28
U00404,35-44,Tier 1,Low,Organic,iOS,2024-01-08
U00405,25-34,Tier 1,High,Branch,Android,2024-03-15
U00406,45-54,Tier 3,Low,Referral,Android,2024-04-04
U00407,25-34,Tier 3,Low,Paid Ads,iOS,2024-03-10
U00408,18-24,Tier 1,Mid,Referral,Android,2024-01-08
U00409,45-54,Tier 1,Mid,Referral,iOS,2024-04-05
U00410,18-24,Tier 2,Low,Referral,Android,2024-02-10
U00411,25-34,Tier 2,Mid,Paid Ads,Android,2024-01-08
U00412,55+,Tier 1,Mid,Paid Ads,iOS,2024-01-07
U00413,55+,Tier 2,Low,Partnership,Android,2024-03-15
U00414,25-34,Tier 1,Low,Referral,Android,2024-03-02
U00415,25-34,Tier 1,High,Paid Ads,Android,2024-03-05
U00416,25-34,Tier 1,High,Partnership,Android,2024-04-19
U00417,18-24,Tier 1,Mid,Organic,iOS,2024-03-08
U00418,25-34,Tier 1,Low,Referral,iOS,2024-01-21
U00419,35-44,Tier 2,Mid,Paid Ads,iOS,2024-01-08
U00420,35-44,Tier 1,Mid,Referral,Android,2024-03-06
U00421,35-44,Tier 1,Low,Referral,Android,2024-01-11
U00422,35-44,Tier 1,Mid,Paid Ads,iOS,2024-04-18
U00423,18-24,Tier 3,Mid,Organic,Android,2024-01-24
U00424,25-34,Tier 1,Mid,Paid Ads,Android,2024-01-09
U00425,18-24,Tier 1,Mid,Branch,iOS,2024-03-17
U00426,25-34,Tier 2,High,Paid Ads,Android,2024-01-09
